study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,cr_i_e,Cruise,new,cruise,,,,0,7,7,11,49.579836,,,,,,,,49.5664119,49.579836,49.579836,49.579836,0.004483,58.015426,cruise,[0.0025],[-0.30583333333333335],[1],[0],[0],[8.443650100147352],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,_a_t_p,Laptop,old,,,,,0,8,8,5,58.0325296,,,,,,,,58.0165033,58.0325296,58.0325296,58.0325296,0.0048532,68.0309443,,[],[],[],[],[],[],[],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,c_s_,Case,new,case,,,,0,9,9,10,68.0486283,,,,,,,,68.0320584,68.0486283,68.0486283,68.0486283,0.0211796,71.7486693,case,[0.0025],[-0.30583333333333335],[1],[0],[0],[3.7103528000880033],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,m_u_e,mouse,old,mouse,,,,0,10,10,8,71.7635679,,,,,,,,71.7496626,71.7635679,71.7635679,71.7635679,0.0041788,76.7349648,mouse,[0.0025],[-0.30583333333333335],[1],[0],[0],[4.979988500010222],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,_o_ic_,Police,new,police,,,,0,11,11,12,76.7509798,,,,,,,,76.7360573,76.7509798,76.7509798,76.7509798,0.0046903,86.747893,police,[],[],[],[],[],[],[],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,_ar__e,marble,old,marble,,,,0,12,12,3,86.7657962,,,,,,,,86.7492485,86.7657962,86.7657962,86.7657962,0.0195947,91.0334861,marble,[0.0025],[-0.30583333333333335],[1],[0],[0],[4.27667640009895],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,c_sh_o_,cushion,old,cushion,,,,0,13,13,1,91.0501808,,,,,,,,91.0346517,91.0501808,91.0501808,91.0501808,0.0047046,95.0495314,cushion,[0.0025],[-0.30583333333333335],[1],[0],[0],[4.009347599931061],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,po_s_r,Poster,new,poster,,,,0,14,14,14,95.066871,,,,,,,,95.0507686,95.066871,95.066871,95.066871,0.004976,100.6004689,poster,[0.0025],[-0.30583333333333335],[1],[0],[0],[5.543628500076011],['text_3'],842280,1,2024-10-25_17h55.25.146,word primming,2024.1.5,None,2024-10-25 17h55.32.691006 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,old,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,new,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
