study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,c_s_,Case,new,,,,,0,9,9,10,65.6287294,,,,,,,,65.6135726,65.6287294,65.6287294,65.6287294,0.0043239,73.8798146,cuse,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[8.261128300102428],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,_o_ic_,Police,new,,,,,0,10,10,12,73.8958349,,,,,,,,73.8809167,73.8958349,73.8958349,73.8958349,0.0046956,83.8950189,,[],[],[],[],[],[],[],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,cr_i_e,Cruise,new,,,,,0,11,11,11,83.9110964,,,,,,,,83.8961573,83.9110964,83.9110964,83.9110964,0.0205196,91.4324027,cruise,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[7.5299114000517875],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,_oo_,book,old,,,,,0,12,12,0,91.4490003,,,,,,,,91.4334928,91.4490003,91.4490003,91.4490003,0.0045234,97.0805621,look,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[5.641726800007746],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,_as_r_,Pastry,old,,,,,0,13,13,9,97.0979378,,,,,,,,97.0814272,97.0979378,97.0979378,97.0979378,0.0040701,101.2134082,pastry,[-0.02666666666666667],[-0.31333333333333335],[1],[0],[0],[4.1271124999038875],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,k_ys,Keys,new,,,,,0,14,14,13,101.2295178,,,,,,,,101.2145488,101.2295178,101.2295178,101.2295178,0.0046747,107.6310047,keys,[-0.02666666666666667],[-0.30583333333333335],[1],[0],[0],[6.410898600006476],['text_3'],430101,1,2024-10-25_17h45.48.322,word primming,2024.1.5,None,2024-10-25 17h45.56.580428 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old ,0.533333333,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new,0.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primming ,-0.266666667,,,,,,,,,
